date,case,matched_after,both_clients,roa_clients,rov_clients,neither_clients
2024-02-02-00,RoVISTA,0.44138717511026837,0.017208204656291984,0.5957639476746991,0.012868174979638986,0.3741596726893699
2024-02-03-00,RoVISTA,0.44937508110619784,0.01695422192243142,0.6000185197285416,0.011720568366021684,0.3713066899830057
2024-02-04-00,RoVISTA,0.4490464313807667,0.016813168002875238,0.603694885319227,0.011364443465561543,0.36812750321233606
2024-02-05-00,RoVISTA,0.44971400667287975,0.01656312588033925,0.6190550683264477,0.010170550323403391,0.3542112554698097
2024-02-06-00,RoVISTA,0.4499060130112094,0.01736065430891077,0.6381373586150711,0.009209043945720035,0.3352929431302982
2024-02-07-00,RoVISTA,0.45031306908312846,0.01794514847953145,0.6510331395772301,0.00925073643712272,0.3217709755061158
2024-02-08-00,RoVISTA,0.45069947441926894,0.015089091080635487,0.6722033952037502,0.008279940360038766,0.3044275733555758
